Date/Time,Day,8am commute,4pm commute,Max Temp (∞C),Min Temp (∞C),Mean Temp (∞C),Heat Deg Days (∞C),Cool Deg Days (∞C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),Dir of Max Gust (10s deg)
2013-09-21,Saturday,35,35,24,5.5,14.8,3.2,0,0,0,0,21
2013-09-22,Sunday,34,35,20.1,3.8,12,6,0,0,0,0,26
2013-09-23,Monday,45,40,17.6,5.3,11.5,6.5,0,0,5,0,27
2013-09-24,Tuesday,52,40,14.4,3.9,9.2,8.8,0,3,0,0,27
2013-09-25,Wednesday,39,40,11.3,1.6,6.5,11.5,0,0,0,0,34
2013-09-26,Thursday,49,56,10.6,0.6,5.6,12.4,0,12,0,0,33
2013-09-27,Friday,36,43,14.1,-0.3,6.9,11.1,0,0,0,0,27
2013-09-28,Saturday,34,35,16,-0.3,7.9,10.1,0,0,0,0,20
2013-09-29,Sunday,34,35,16,3.6,9.8,8.2,0,0,0,0,27
2013-09-30,Monday,47,39,14.3,2.2,8.3,9.7,0,0,8,0,26
2013-10-01,Tuesday,40,41,13.4,0.5,7,11,0,6,0,0,26
2013-10-02,Wednesday,45,40,10.1,-2.3,3.9,14.1,0,3,0,0,34
2013-10-03,Thursday,37,40,8.9,-2.2,3.4,14.6,0,0.3,0,0,35
2013-10-04,Friday,36,44,14.4,-4,5.2,12.8,0,0,0,0,19
2013-10-05,Saturday,34,35,14.9,4,9.5,8.5,0,0,0,0,27
2013-10-06,Sunday,34,35,17.8,3.2,10.5,7.5,0,0,0,0,25
2013-10-07,Monday,45,40,17.9,5.6,11.8,6.2,0,6,0,0,28
2013-10-10,Thursday,40,44,12.4,2.6,7.5,10.5,0,13.8,0,0,4
2013-10-11,Friday,36,44,8.3,-1,3.7,14.3,0,0,0,0,0
2013-10-12,Saturday,35,35,8.2,0.4,4.3,13.7,0,0,0,0,0
2013-10-13,Sunday,34,35,8.9,0.8,4.9,13.1,0,0,0,0,0
2013-10-14,Monday,35,35,11.1,-3.3,3.9,14.1,0,0,0,0,0
2013-10-15,Tuesday,42,41,16.6,-2.3,7.2,10.8,0,34,0,0,35
2013-10-17,Thursday,40,43,9.8,-1.2,4.3,13.7,0,0,0,0,34
2013-10-18,Friday,40,49,17,-2.1,7.5,10.5,0,0,0,0,28
2013-10-19,Saturday,35,36,13.1,3.8,8.5,9.5,0,0,0,0,34
2013-10-20,Sunday,34,36,13.9,-0.6,6.7,11.3,0,0,0,0,34
2013-10-22,Tuesday,46,41,15.7,0.9,8.3,9.7,0,0,8,0,3
2013-10-24,Thursday,41,43,21.9,-0.7,10.6,7.4,0,6,0,0,27
2013-10-25,Friday,38,44,13.4,1.5,7.5,10.5,0,0,0,0,0
2013-10-26,Saturday,35,35,20.3,0.1,10.2,7.8,0,0,0,0,29
2013-10-27,Sunday,34,35,8.5,-6.8,0.9,17.1,0,5.2,4.4,4,3
2013-10-28,Monday,40,39,-5.9,-11.2,-8.6,26.6,0,0,0,4,18
2013-10-29,Tuesday,45,41,2.9,-10.4,-3.8,21.8,0,0,20,4,0
2013-10-30,Wednesday,40,43,7.8,-1.9,3,15,0,0,0,3,0
2013-10-31,Thursday,42,46,11.8,0.2,6,12,0,0,7,1,27
2013-11-01,Friday,37,47,10.6,2.4,6.5,11.5,0,0,0,1,26
2013-11-02,Saturday,35,36,4.1,-2,1.1,16.9,0,0.5,15.5,5,32
2013-11-03,Sunday,36,35,-1.3,-7.3,-4.3,22.3,0,0,1.6,2,32
2013-11-04,Monday,41,39,-3.5,-9.4,-6.5,24.5,0,1.1,0,4,0
2013-11-05,Tuesday,41,41,1.7,-13.1,-5.7,23.7,0,9,0,4,0
2013-11-06,Wednesday,39,42,4.3,-4.4,-0.1,18.1,0,0,0,3,27
2013-11-07,Thursday,39,43,1.3,-7,-2.9,20.9,0,0,0,2,0
2013-11-08,Friday,36,44,5.1,-5,0.1,17.9,0,0.8,1,2,34
2013-11-09,Saturday,34,35,4.8,-9,-2.1,20.1,0,0,0,1,35
2013-11-10,Sunday,36,35,-6.6,-11,-8.8,26.8,0,0,2.2,1,0
2013-11-11,Monday,37,39,1.6,-13.8,-6.1,24.1,0,0,0,3,0
2013-11-12,Tuesday,46,43,10.8,-5.7,2.6,15.4,0,0,6,3,27
2013-11-13,Wednesday,40,43,8.3,2.9,5.6,12.4,0,0,0,1,27
2013-11-14,Thursday,40,44,7.4,-3.5,2,16,0,0,0,1,27
2013-11-15,Friday,39,45,4.6,-3.8,0.4,17.6,0,0,0.2,1,28
2013-11-16,Saturday,38,35,-2.5,-13.1,-7.8,25.8,0,0,6.9,0,35
2013-11-17,Sunday,35,35,-10.6,-20.8,-15.7,33.7,0,0,0.4,2,0
2013-11-18,Monday,42,42,-9.2,-15.9,-12.6,30.6,0,8,0,3,36
2013-11-19,Tuesday,39,46,-14.4,-18.5,-16.5,34.5,0,1,0,3,34
2013-11-20,Wednesday,52,43,-9.4,-22.3,-15.9,33.9,0,0,7,4,26
2013-11-21,Thursday,46,46,-0.2,-12.9,-6.6,24.6,0,0,8,2,25
2013-11-22,Friday,37,45,-6.8,-17.3,-12.1,30.1,0,0,0,2,0
2013-11-23,Saturday,35,35,10.5,-10.8,-0.2,18.2,0,0,0,1,27
2013-11-24,Sunday,35,35,9.7,-3.3,3.2,14.8,0,0,0,1,27
2013-11-25,Monday,35,39,2,-7.1,-2.6,20.6,0,0,0,0,0
2013-11-26,Tuesday,48,40,10.2,-5.6,2.3,15.7,0,3,0,0,29
2013-11-27,Wednesday,38,41,3.3,-7,-1.9,19.9,0,0,0,0,0
2013-11-28,Thursday,39,44,9.2,-7.7,0.8,17.2,0,0,0,0,27
2013-11-29,Friday,38,43,7.9,-1,3.5,14.5,0,0,0,0,26
2013-11-30,Saturday,34,35,6.4,-5.1,0.7,17.3,0,0,0,0,29
2013-12-01,Sunday,34,34,4.7,-4.7,0,18,0,0,0,0,0
2013-12-02,Monday,47,54,-3.2,-15.2,-9.2,27.2,0,0,14,1,33
2013-12-03,Tuesday,45,43,-13.7,-17.3,-15.5,33.5,0,0,1,15,33
2013-12-04,Wednesday,51,43,-15.7,-22.3,-19,37,0,10,0,15,36
2013-12-05,Thursday,49,43,-19.8,-26.2,-23,41,0,0,0.4,13,33
2013-12-06,Friday,40,46,-24.7,-29.2,-27,45,0,0,0,12,0
2013-12-07,Saturday,35,36,-12.2,-30.1,-21.2,39.2,0,0,0,12,0
2013-12-08,Sunday,37,36,-11.9,-16.1,-14,32,0,0,3,12,35
2013-12-09,Monday,52,46,-2.8,-12.8,-7.8,25.8,0,0,4,16,28
2013-12-10,Tuesday,60,79,-7,-17.8,-12.4,30.4,0,0,3.4,21,3
2013-12-11,Wednesday,55,44,2.2,-17.2,-7.5,25.5,0,10,0,22,27
2013-12-12,Thursday,41,42,3.5,-17.1,-6.8,24.8,0,5,0,21,25
2013-12-13,Friday,39,52,-6.8,-18.6,-12.7,30.7,0,0,0,21,1
2013-12-14,Saturday,35,35,7.8,-16,-4.1,22.1,0,0,0,18,26
2013-12-15,Sunday,35,35,8.7,-1.5,3.6,14.4,0,0,4,12,26
2013-12-16,Monday,49,44,-0.5,-8.6,-4.6,22.6,0,0,5,18,20
2013-12-17,Tuesday,44,43,9,-9.2,-0.1,18.1,0,9,0,14,28
2013-12-18,Wednesday,60,64,3,-16.7,-6.9,24.9,0,0,10.6,9,1
2013-12-19,Thursday,57,48,-7.5,-22.4,-15,33,0,23,0,19,0
2013-12-20,Friday,41,49,-5.9,-18,-12,30,0,2,0,17,0
2013-12-21,Saturday,35,36,-11.1,-18.7,-14.9,32.9,0,0,1,16,35
2013-12-22,Sunday,36,36,-11.1,-20.4,-15.8,33.8,0,0,1,17,17
2013-12-23,Monday,38,46,6.5,-19.1,-6.3,24.3,0,0,0,18,24
2013-12-24,Tuesday,35,35,0,-5.9,0,0,0,0,0,15,0
2013-12-25,Wednesday,35,35,6.5,-10.1,-1.8,19.8,0,0,0,12,26
2013-12-26,Thursday,35,35,9.4,3.2,6.3,11.7,0,0,0,7,27
2013-12-27,Friday,35,37,10.6,3.3,7,11,0,0,0,4,0
2013-12-28,Saturday,37,35,-13,-18.6,-15.8,33.8,0,0,1,2,35
2013-12-29,Sunday,35,35,0.3,-14.2,-7,25,0,0,0,3,35
2013-12-30,Monday,37,40,-5.2,-17.3,-11.3,29.3,0,0,0,3,2
2013-12-31,Tuesday,37,35,-2.7,-18.4,-10.6,28.6,0,0,4,4,0